x,value
0,0.111062
0.1,0.112309
0.2,0.114787
0.3,0.118463
0.4,0.123288
0.5,0.129197
0.6,0.136112
0.7,0.143936
0.8,0.152563
0.9,0.16187
1,0.171725
1.1,0.181985
1.2,0.192499
1.3,0.203109
1.4,0.213653
1.5,0.22397
1.6,0.233896
1.7,0.243275
1.8,0.251955
1.9,0.259794
2,0.266664
2.1,0.272449
2.2,0.277054
2.3,0.2804
2.4,0.28243
2.5,0.283111
2.6,0.28243
2.7,0.2804
2.8,0.277054
2.9,0.272449
3,0.266664
3.1,0.259794
3.2,0.251955
3.3,0.243275
3.4,0.233896
3.5,0.22397
3.6,0.213653
3.7,0.203109
3.8,0.192499
3.9,0.181985
4,0.171725
4.1,0.16187
4.2,0.152563
4.3,0.143936
4.4,0.136112
4.5,0.129197
4.6,0.123288
4.7,0.118463
4.8,0.114787
4.9,0.112309
5,0.111062
